title,presenter,session,schedule
Perlocution vs Illocution: How Different Interpretations of the Act of Explaining Impact on the Evaluation of Explanations and XAI,"Francesco Sovrano, Fabio Vitali",interdisciplinary-perspectives-on-xai,Wed 9:30 am - 11:00 am
Speeding things up. Can explainability improve human learning?,"Jakob Mannmeusel, Mario Rothfelder, and Samaneh Khoshrou",interdisciplinary-perspectives-on-xai,Wed 9:30 am - 11:00 am
Statutory Professions in AI governance and their consequences for explainable AI,"Labhaoise NiFhaolain, Andrew Hines, Vivek Nallur",interdisciplinary-perspectives-on-xai,Wed 9:30 am - 11:00 am
"Dear XAI Community, We Need to Talk! Fundamental Misconceptions in Current XAI Research","Timo Freiesleben, Gunnar Konig",interdisciplinary-perspectives-on-xai,Wed 9:30 am - 11:00 am
XAI Requirements in Smart Production Processes: A Case Study,"Deborah Baum, Kevin Baum, Timo P. Gros, Verena Wolf",interdisciplinary-perspectives-on-xai,Wed 9:30 am - 11:00 am
iPDP: On Partial Dependence Plots in Dynamic Modeling Scenarios,"Maximilian Muschalik, Fabian Fumagalli, Rohit Jagtani, Barbara Hammer, Eyke Hullermeier",model-agnostic-explanations,Wed 9:30 am - 11:00 am
Algorithm-Agnostic Feature Attributions for Clustering,"Christian A. Scholbeck, Henri Funk, Giuseppe Casalicchio",model-agnostic-explanations,Wed 9:30 am - 11:00 am
Feature Importance versus Feature Influence and What It Signifies for Explainable AI,Kary Framling,model-agnostic-explanations,Wed 9:30 am - 11:00 am
SAC-FACT: Soft Actor-Critic Reinforcement Learning for Counterfactual Explanations,"Fatima Ezzeddine, Omran Ayoub, Davide Andreoletti, Silvia Giordano",model-agnostic-explanations,Wed 9:30 am - 11:00 am
PERFEX: Classifier Performance Explanations for Trustworthy AI Systems,"Erwin Walraven, Ajaya Adhikari, Cor J. Veenman",xai-for-decision-making-human-ai-collaboration,Wed 2:30 pm - 3:30 pm
Explaining Black-Boxes in Federated Learning,"Luca Corbucci, Riccardo Guidotti, Anna Monreale",xai-for-decision-making-human-ai-collaboration,Wed 2:30 pm - 3:30 pm
Explainable Automated Anomaly Recognition in Failure Analysis: is Deep Learning Doing it Correctly?,"Leonardo Arrighi, Sylvio Barbon Jr., Felice Andrea Pellegrino, Michele Simonato, Marco Zullich",actionable-explainable-ai,Wed 2:30 pm - 3:30 pm
DExT: Detector Explanation Toolkit,"Deepan Chakravarthi Padmanabhan, Paul G., Plöger, Octavio Arriaga, Matias, Valdenegro-Toro",actionable-explainable-ai,Wed 2:30 pm - 3:30 pm
Unveiling Black-boxes: Explainable Deep Learning Models for Patent Classification,"Md Shajalal, Sebastian Denef, Md. Rezaul Karim, Alexander Boden, Gunnar Stevens",actionable-explainable-ai,Wed 2:30 pm - 3:30 pm
Propaganda Detection Robustness through Adversarial Attacks driven by eXplainable AI,"Danilo Cavaliere, Mariacristina Gallo, and Claudio Stanzione",actionable-explainable-ai,Wed 2:30 pm - 3:30 pm
Explainable performance evaluation in machine learning,Prof. Peter Flach,keynote,Wed 11:30 am - 12:30 pm
The Duet of Representations and How Explanations Exacerbate It,"Charles Wan, Rodrigo Belo, Leid Zejnilovic, Susana Lavado",xai-for-decision-making-human-ai-collaboration,Wed 2:30 pm - 3:30 pm
Closing the Loop: Testing ChatGPT to Generate Model Explanations to Improve Human Labelling of Sponsored Content on Social Media,"Thales Bertaglia, Stefan Huber, Catalina Goanta, Gerasimos Spanakis, Adriana Iamnitchi",xai-for-decision-making-human-ai-collaboration,Wed 2:30 pm - 3:30 pm
HOLMES: HOLonym-MEronym based Semantic inspection for Convolutional Image Classifiers,"Francesco Dibitonto, Fabio Garcea, André Panisson, Alan Perotti, Lia Morra",semantics-and-explainability,Wed 3:30 pm - 4:30 pm
Beyond One-Hot-Encoding: Injecting Semantics to Drive Image Classifiers,"Alan Perotti, Simone Bertolotto, Eliana Pastor, André Panisson",semantics-and-explainability,Wed 3:30 pm - 4:30 pm
Finding Spurious Correlations with Function-Semantic Contrast Analysis,"Kirill Bykov, Laura Kopf, Marina M.-C. Höhne",semantics-and-explainability,Wed 3:30 pm - 4:30 pm
Evaluating the Stability of Semantic Concept Representations in CNNs for Robust Explainability,"Georgii Mikriukov, Gesina Schwalbe, Christian Hellert, Korinna Bade",semantics-and-explainability,Wed 3:30 pm - 4:30 pm
Handling Missing Values in Local Post-hoc Explainability,"Martina Cinquini, Fosca Giannotti, Riccardo Guidotti, Andrea Mattei",xai-for-decision-making-human-ai-collaboration-b,Wed 3:30 pm - 4:30 pm
"Necessary and Sufficient Explanations of Multi-Criteria Decision Aiding Models, with and without interacting Criteria","Christophe Labreuche, Roman Bresson",xai-for-decision-making-human-ai-collaboration-b,Wed 3:30 pm - 4:30 pm
Human-Computer Interaction and Explainability: Intersection and Terminology,"Arthur Picard, Yazan Mualla, Franck, Gechter, Stephane Galland",xai-for-decision-making-human-ai-collaboration-b,Wed 3:30 pm - 4:30 pm
Explaining Deep Reinforcement Learning-based methods for control of building HVAC systems,"Javier Jiménez-Raboso, Antonio Manjavacas, Alejandro, Campoy-Nieves, Miguel Molina-Solana, Juan Gómez-Romero",xai-for-decision-making-human-ai-collaboration-b,Wed 3:30 pm - 4:30 pm
Cost of Explainability in AI: an Example with Credit Scoring Models,"Jean Dessain, Nora Bentaleb, Fabien Vinas",explainable-ai-in-finance-cybersecurity,Wed 4:30 pm - 5:30 pm
Explainable Machine Learning for Bag of Words-based Phishing Detection,"Maria Carla Calzarossa, Paolo Giudici, Rasha Zieni",explainable-ai-in-finance-cybersecurity,Wed 4:30 pm - 5:30 pm
Lorenz Zonoids for Trustworthy AI,"Paolo Giudici, Emanuela Raffinetti",explainable-ai-in-finance-cybersecurity,Wed 4:30 pm - 5:30 pm
Evaluating feature relevance XAI in network intrusion detection,"Julian Tritscher, Maximilian Wolf, Andreas Hotho, Daniel Schlor",explainable-ai-in-finance-cybersecurity,Wed 4:30 pm - 5:30 pm
Evaluating explanations of an Alzheimer’s Disease 18F-FDG Brain PET black-box classifier,"Lisa Anita De Santi, Filippo Bargagna, Maria Filomena Santarelli, Vincenzo Positano",xai-in-biomedicine,Wed 4:30 pm - 5:30 pm
An Evaluation of Contextual Importance and Utility for Outcome Explanation of Black-box Predictions for medical datasets,"Avleen Malhi, Kary Framling",xai-in-biomedicine,Wed 4:30 pm - 5:30 pm
The accuracy and faithfullness of AL-DLIME -Active Learning-based Deterministic Local Interpretable Model-Agnostic Explanations: a comparison with LIME and DLIME in Medicine,"Sarah Holm, Luis Macedo",xai-in-biomedicine,Wed 4:30 pm - 5:30 pm
Understanding Unsupervised Learning Explanations using Contextual Importance and Utility,"Avleen Malhi Vlad Apopei, Kary Framling",xai-in-biomedicine,Wed 4:30 pm - 5:30 pm
Explaining Model Behavior with Global Causal Analysis,"Marcel Robeer, Floris Bex, Ad Feelders, Henry Prakken",causality-explainable-ai,Thu 9:30 am - 11:00 am
The Importance of Time in Causal Algorithmic Recourse,"Isacco Beretta, Martina Cinquini",causality-explainable-ai,Thu 9:30 am - 11:00 am
Counterfactual Explanations for Graph Classification Through the Lenses of Density,"Carlo Abrate, Giulia Preti, Francesco Bonchi",causality-explainable-ai,Thu 9:30 am - 11:00 am
Ablation Path Saliency,"Justus Sagemuller, Olivier Verdier",causality-explainable-ai,Thu 9:30 am - 11:00 am
ABC-GAN: Spatially Constrained Counterfactual Generation for Image Classification Explanations,"Dimitry Mindlin, Malte Schilling, Philipp Cimiano",causality-explainable-ai,Thu 9:30 am - 11:00 am
Adding Why to What? Analyses of an Everyday Explanation,"Lutz Terfloth, Michael Schaffer, Heike M. Buhl, Carsten Schulte",human-centered-explanations-for-xai,Thu 9:30 am - 11:00 am
Concept Distillation in Graph Neural Networks,"Lucie Charlotte Magister, Pietro Barbiero, Dmitry Kazhdan, Federico Siciliano, Gabriele Ciravegna, Fabrizio Silvestri, Mateja, Jamnik, Pietro Lio",human-centered-explanations-for-xai,Thu 9:30 am - 11:00 am
For Better or Worse: The Impact of Counterfactual Explanations’ Directionality on User Behavior in xAI,"Ulrike Kuhl, Andre Artelt, Barbara Hammer",human-centered-explanations-for-xai,Thu 9:30 am - 11:00 am
Towards a Comprehensive Human-Centred Evaluation Framework for Explainable AI,"Ivania Donoso-Guzman, Jeroen Ooge, Denis Parra, Katrien Verbert",human-centered-explanations-for-xai,Thu 9:30 am - 11:00 am
Development of a human-centred psychometric test for the evaluation of explanations produced by XAI methods,"Giulia Vilone, Luca Longo",human-centered-explanations-for-xai,Thu 9:30 am - 11:00 am
Evaluating self-attention interpretability through human-grounded experimental protocol,"Milan Bhan, Nina Achache, Victor Legrand, Annabelle Blangero, Nicolas Chesneau",xai-and-natural-language-processing,Thu 11:30 am - 1:00 pm
Opening the Black Box: Analyzing Attention Weights and Hidden States in Pre-trained Language Models for Non-language Tasks,"Mohamad Ballout, Ulf Krumnack, Gunther Heidemann, Kai-Uwe Kuhnberger",xai-and-natural-language-processing,Thu 11:30 am - 1:00 pm
From Black Boxes to Conversations: Incorporating XAI in a Conversational Agent,"Van Bach Nguyen, Jörg Schlötterer, Christin Seifert",xai-and-natural-language-processing,Thu 11:30 am - 1:00 pm
Toward Inclusive Online Environments: Counterfactual-Inspired XAI for Detecting and Interpreting Hateful and Offensive Tweets,"Muhammad Deedahwar Mazhar Qureshi, M. Atif Qureshi, Wael Rashwan",xai-and-natural-language-processing,Thu 11:30 am - 1:00 pm
Understanding Interpretability: Explainable AI Approaches for Hate Speech Classifiers,"Sargam Yadav, Abhishek Kaushik, Kevin McDaid3",xai-and-natural-language-processing,Thu 11:30 am - 1:00 pm
XInsight: Revealing Model Insights for GNNs with Flow-based Explanations,"Eli Laird, Ayesh Madushanka, Elfi Kraka, Corey Clark",xai-for-machine-learning-on-graphs-with-ontologies-graph-neural-networks,Thu 11:30 am - 1:00 pm
What Will Make Misinformation Spread: An XAI Perspective,"Hongbo Bo, Yiwen Wu, Zinuo You, Ryan McConville, Jun Hong, Weiru Liu",xai-for-machine-learning-on-graphs-with-ontologies-graph-neural-networks,Thu 11:30 am - 1:00 pm
MEGAN: Multi-Explanation Graph Attention Network,"Jonas Teufel, Luca Torresi, Patrick, Reiser, Pascal Friederich",xai-for-machine-learning-on-graphs-with-ontologies-graph-neural-networks,Thu 11:30 am - 1:00 pm
Quantifying the Intrinsic Usefulness of Attributional Explanations for Graph Neural Networks with Artificial Simulatability Studies,"Jonas Teufel, Luca Torresi, Pascal Friederich",xai-for-machine-learning-on-graphs-with-ontologies-graph-neural-networks,Thu 11:30 am - 1:00 pm
Evaluating Link Prediction Explanations for Graph Neural Networks,"Claudio Borile, Alan Perotti, and Andre Panisson",xai-for-machine-learning-on-graphs-with-ontologies-graph-neural-networks,Thu 11:30 am - 1:00 pm
Explaining Socio-demographic and Behavioral Patterns of Vaccination against the Swine Flu(H1N1) Pandemic,"Clara Punzi, Aleksandra Maslennikova, Gizem Gezici, Roberto, Pellungrini, Fosca Giannotti",explanations-for-advice-giving-systems,Thu 2:30 pm - 3:30 pm
Explaining Search Result Stances to Opinionated People,"Zhangyi Wu, Tim Draws, Federico Cau, Francesco Barile, Alisa Rieger, and Nava Tintarev",explanations-for-advice-giving-systems,Thu 2:30 pm - 3:30 pm
A Co-design Study for Multi-Stakeholder Job Recommender System Explanations,"Roan Schellingerhout, Francesco Barile and Nava Tintarev",explanations-for-advice-giving-systems,Thu 2:30 pm - 3:30 pm
